Mol_ID,Gene_symbol,Description
MOL000098,CYP51A1,cytochrome P450 family 51 subfamily A member 1
MOL000098,MYC,"MYC proto-oncogene, bHLH transcription factor"
MOL000098,ADIPOR1,adiponectin receptor 1
MOL000098,PTK2,protein tyrosine kinase 2
MOL000098,AKR1B1,aldo-keto reductase family 1 member B
MOL000098,ADIPOQ,"adiponectin, C1Q and collagen domain containing"
MOL000098,BAX,"BCL2 associated X, apoptosis regulator"
MOL000098,MAPK1,mitogen-activated protein kinase 1
MOL000098,STAT3,signal transducer and activator of transcription 3
MOL000098,BRD2,bromodomain containing 2
MOL000098,ADAM10,ADAM metallopeptidase domain 10
MOL000098,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
MOL000098,PDK4,pyruvate dehydrogenase kinase 4
MOL000098,TREM2,triggering receptor expressed on myeloid cells 2
MOL000098,TFAM,"transcription factor A, mitochondrial"
MOL000098,LEPR,leptin receptor
MOL000098,TNF,tumor necrosis factor
MOL000098,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
MOL000098,IL22,interleukin 22
MOL000098,HSPA5,heat shock protein family A (Hsp70) member 5
MOL000098,EHMT2,euchromatic histone lysine methyltransferase 2
MOL000098,BMP15,bone morphogenetic protein 15
MOL000098,STC1,stanniocalcin 1
MOL000098,AHR,aryl hydrocarbon receptor
MOL000098,PRRT2,proline rich transmembrane protein 2
MOL000098,NGF,nerve growth factor
MOL000098,MEF2A,myocyte enhancer factor 2A
MOL000098,IL9,interleukin 9
MOL000098,GGT1,gamma-glutamyltransferase 1
MOL000098,TLR4,toll like receptor 4
MOL000098,SYT1,synaptotagmin 1
MOL000098,MAPK3,mitogen-activated protein kinase 3
MOL000098,GABPA,GA binding protein transcription factor subunit alpha
MOL000098,CYP21A2,cytochrome P450 family 21 subfamily A member 2
MOL000098,APP,amyloid beta precursor protein
MOL000098,CTNNB1,catenin beta 1
