	logFC	AveExpr	t	P.Value	adj.P.Val	B
DDX24	-1.58014253704454	4.31343957488624	-20.5773575975658	1.72207717882426e-54	3.10744295136789e-52	113.452333169237
NOB1	-1.57764330087533	4.68672724381065	-16.749613531184	5.68756786227187e-42	2.16664737953323e-40	84.7503067860503
CD160	-1.57736979510361	2.87732742465449	-18.1020009224465	1.88877974932083e-46	1.22182667368801e-44	95.0192980996293
C12orf57	-1.57525525190676	5.88842013194323	-10.8634043280511	1.53174132332698e-22	1.11616899617993e-21	40.2465332402527
LOC728392 /// NLRP1	-1.57299589667933	5.89023429600361	-9.58688342943493	1.3876051106129e-18	7.66704935009882e-18	31.2109029058958
CRIP1	-1.56810841273976	7.40485888284304	-8.92653840399111	1.28601577962232e-16	6.29422569655264e-16	26.727495220598
TRIB2	-1.56586597355537	3.58114446432147	-16.7938276381027	4.05344244911299e-42	1.57030818494733e-40	85.087576944573
DPP4	-1.56312657512207	3.16847928463099	-18.0243351961186	3.40445871047158e-46	2.14168563098198e-44	94.4326341563706
BIN1	-1.56271349507531	5.14474368953548	-16.1203700328843	7.1124517255739e-40	2.088794867665e-38	79.9423620221946
ADA	-1.55181716278141	4.67706004759575	-12.0520294464474	2.31216358307684e-26	2.22051900408373e-25	48.9858271649976
