Mol_ID,Gene_symbol,Description
MOL007108,CA2,carbonic anhydrase 2
MOL007108,CCNA2,cyclin A2
MOL007108,CDK2,cyclin dependent kinase 2
MOL007108,CHRM1,cholinergic receptor muscarinic 1
MOL007108,CHRM2,cholinergic receptor muscarinic 2
MOL007108,CHRM3,cholinergic receptor muscarinic 3
MOL007108,CHRM4,cholinergic receptor muscarinic 4
MOL007108,CHRM5,cholinergic receptor muscarinic 5
MOL007108,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007108,DPP4,dipeptidyl peptidase 4
MOL007108,DRD1,dopamine receptor D1
MOL007108,DRD2,dopamine receptor D2
MOL007108,ESR1,estrogen receptor 1
MOL007108,ESR2,estrogen receptor 2
MOL007108,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007108,GSK3B,glycogen synthase kinase 3 beta
MOL007108,NOS2,nitric oxide synthase 2
MOL007108,OPRD1,opioid receptor delta 1
MOL007108,OPRM1,opioid receptor mu 1
MOL007108,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007108,PRSS1,serine protease 1
MOL007108,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007108,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007108,RXRA,retinoid X receptor alpha
MOL007108,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007108,STAT3,signal transducer and activator of transcription 3
MOL007108,NCOA1,nuclear receptor coactivator 1
MOL007108,NCOA2,nuclear receptor coactivator 2
MOL007115,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007115,AR,androgen receptor
MOL007115,ESR1,estrogen receptor 1
MOL007141,ESR1,estrogen receptor 1
MOL007141,GSK3B,glycogen synthase kinase 3 beta
MOL007141,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007142,F7,coagulation factor VII
MOL007142,PRSS1,serine protease 1
MOL007145,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007145,ADRA1D,adrenoceptor alpha 1D
MOL007145,ADRA1B,adrenoceptor alpha 1B
MOL007145,ADRA1A,adrenoceptor alpha 1A
MOL007145,ADRA2A,adrenoceptor alpha 2A
MOL007145,ADRA2B,adrenoceptor alpha 2B
MOL007145,ADRB2,adrenoceptor beta 2
MOL007145,AR,androgen receptor
MOL007145,CHRM1,cholinergic receptor muscarinic 1
MOL007145,CHRM2,cholinergic receptor muscarinic 2
MOL007145,CHRM3,cholinergic receptor muscarinic 3
MOL007145,CHRM4,cholinergic receptor muscarinic 4
MOL007145,CHRM5,cholinergic receptor muscarinic 5
MOL007145,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit
MOL007145,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007145,DPP4,dipeptidyl peptidase 4
MOL007145,DRD1,dopamine receptor D1
MOL007145,DRD2,dopamine receptor D2
